,Rank,Movie_Title,Studio,Total_Gross_Revenue,Total_Gross_Theaters,Opening_Revenue,Opening_Theaters,Open_Date
58,51,Sinister,LG/S,"$48,086,903","2,542","$18,007,634","2,527",10/12/12
59,52,Kick-Ass,LGF,"$48,071,303","3,065","$19,828,687","3,065",4/16/10
60,53,"Precious: Based on the Novel ""Push"" by Sapphire",LGF,"$47,566,524","1,003","$1,872,458",18,11/6/09
61,54,Hostel,Lions,"$47,326,473","2,337","$19,556,099","2,195",1/6/06
62,55,Tyler Perry's Boo 2! A Madea Halloween,LGF,"$47,319,572","2,388","$21,226,953","2,388",10/20/17
63,56,Killers,LGF,"$47,059,963","2,859","$15,837,266","2,859",6/4/10
64,57,Sicario,LGF,"$46,889,293","2,620","$401,288",6,9/18/15
65,58,Saw 3D,LGF,"$45,710,178","2,808","$22,530,123","2,808",10/29/10
66,59,All Eyez on Me,LG/S,"$44,922,302","2,471","$26,435,354","2,471",6/16/17
67,60,Instructions Not Included,LGF,"$44,467,206",978,"$7,846,426",348,8/30/13
68,61,Tyler Perry's Acrimony,LGF,"$43,549,096","2,006","$17,170,707","2,006",3/30/18
69,62,John Wick,LG/S,"$43,037,835","2,589","$14,415,922","2,589",10/24/14
70,63,Snitch,LG/S,"$42,930,462","2,511","$13,167,607","2,511",2/22/13
71,64,The Big Sick,LGF,"$42,873,127","2,597","$421,577",5,6/23/17
72,65,Rambo,LGF,"$42,754,105","2,764","$18,203,876","2,751",1/25/08
73,66,The Age of Adaline,LGF,"$42,629,776","3,070","$13,203,458","2,991",4/24/15
74,67,Uncle Drew,LG/S,"$42,469,946","2,742","$15,242,781","2,742",6/29/18
75,68,The Cabin in the Woods,LGF,"$42,073,277","2,811","$14,743,614","2,811",4/13/12
76,69,Tyler Perry's Meet the Browns,LGF,"$41,975,388","2,016","$20,082,809","2,006",3/21/08
77,70,What to Expect When You're Expecting,LGF,"$41,152,203","3,021","$10,547,068","3,021",5/18/12
78,71,The Last Exorcism,LGF,"$41,034,350","2,874","$20,366,613","2,874",8/27/10
79,72,The Expendables 3,LGF,"$39,322,544","3,221","$15,879,645","3,221",8/15/14
80,73,Nerve,LGF,"$38,583,626","2,538","$9,445,456","2,538",7/27/16
81,74,Jigsaw,LGF,"$38,052,832","2,941","$16,640,452","2,941",10/27/17
82,75,For Colored Girls,LGF,"$37,729,698","2,127","$19,497,324","2,127",11/5/10
83,76,Tyler Perry's The Family That Preys,LGF,"$37,105,289","2,070","$17,381,218","2,070",9/12/08
84,77,The Commuter,LGF,"$36,343,858","2,892","$13,701,452","2,892",1/12/18
85,78,American Assassin,LGF,"$36,249,674","3,154","$14,846,778","3,154",9/15/17
86,79,Dirty Grandpa,LGF,"$35,593,113","2,912","$11,111,875","2,912",1/22/16
87,80,Step Up Revolution,LG/S,"$35,074,677","2,606","$11,731,708","2,567",7/27/12
88,81,Tyler Perry's Good Deeds,LGF,"$35,025,791","2,132","$15,583,924","2,132",2/24/12
89,82,Good Luck Chuck,LGF,"$35,017,297","2,612","$13,652,001","2,612",9/21/07
90,83,Texas Chainsaw 3D,LGF,"$34,341,945","2,659","$21,744,470","2,654",1/4/13
91,84,The DUFF,LGF,"$34,030,343","2,622","$10,809,149","2,575",2/20/15
92,85,The Punisher,Lions,"$33,810,189","2,649","$13,834,527","2,649",4/16/04
93,86,The Spy Who Dumped Me,LGF,"$33,562,069","3,111","$12,103,043","3,111",8/3/18
94,87,Kevin Hart: Let Me Explain,LG/S,"$32,244,051",892,"$10,030,463",876,7/3/13
95,88,How to be a Latin Lover,PNT,"$32,149,404","1,203","$12,252,439","1,118",4/28/17
96,89,Patriots Day,LGF,"$31,886,361","3,120","$161,306",7,12/21/16
97,90,Cold Pursuit,LG/S,"$31,869,806","2,630","$11,030,233","2,630",2/8/19
98,91,Transporter 3,LGF,"$31,715,062","2,626","$12,063,452","2,626",11/26/08
99,92,The Eye,LGF,"$31,418,697","2,470","$12,425,776","2,436",2/1/08
100,93,Tyler Perry's Daddy's Little Girls,LGF,"$31,366,978","2,111","$11,210,754","2,111",2/14/07
101,94,Monster's Ball,Lions,"$31,273,922",714,"$110,552",7,12/26/01
102,95,Gods of Egypt,LG/S,"$31,153,464","3,117","$14,123,903","3,117",2/26/16
103,96,Robin Hood (2018),LG/S,"$30,824,628","2,827","$9,195,670","2,827",11/21/18
104,97,Dogma,Lions,"$30,652,890","1,292","$8,669,945","1,269",11/12/99
105,98,Open Water,Lions,"$30,610,863","2,709","$1,100,943",47,8/6/04
106,99,Daybreakers,LGF,"$30,101,577","2,523","$15,146,692","2,523",1/8/10
108,101,Five Feet Apart,LGF,"$28,906,637","2,866","$13,190,286","2,803",3/15/19
109,102,Draft Day,LG/S,"$28,842,237","2,781","$9,783,603","2,781",4/11/14
110,103,Brothers,LGF,"$28,544,157","2,088","$9,527,848","2,088",12/4/09
111,104,Employee of the Month,LGF,"$28,444,855","2,579","$11,407,751","2,579",10/6/06
112,105,Abduction,LGF,"$28,087,155","3,118","$10,925,253","3,118",9/23/11
113,106,Crank,LGF,"$27,838,408","2,515","$10,457,367","2,515",9/1/06
114,107,Saw VI,LGF,"$27,693,292","3,036","$14,118,444","3,036",10/23/09
115,108,The Last Witch Hunter,LG/S,"$27,367,660","3,082","$10,812,861","3,082",10/23/15
116,109,Hell or High Water,LGF,"$27,007,844","1,505","$621,329",32,8/12/16
117,110,One For the Money,LGF,"$26,414,527","2,737","$11,515,790","2,737",1/27/12
118,111,Love the Coopers,LGF,"$26,302,731","2,603","$8,317,545","2,603",11/13/15
119,112,The Descent,LGF,"$26,024,456","2,095","$8,911,330","2,095",8/4/06
120,113,Alex Cross,LG/S,"$25,888,412","2,541","$11,396,768","2,539",10/19/12
121,114,W.,LGF,"$25,534,493","2,050","$10,505,668","2,030",10/17/08
122,115,Escape Plan,LG/S,"$25,135,965","2,883","$9,885,732","2,883",10/18/13
123,116,Alpha and Omega,LGF,"$25,107,267","2,625","$9,106,906","2,625",9/17/10
124,117,Winchester,LGF,"$25,091,816","2,480","$9,307,626","2,480",2/2/18
125,118,Sicko,LGF,"$24,540,079","1,117","$68,969",1,6/22/07
126,119,The Spy Next Door,LGF,"$24,307,086","2,924","$9,726,056","2,924",1/15/10
127,120,Lord of War,Lions,"$24,149,632","2,814","$9,390,144","2,814",9/16/05
128,121,From Paris with Love,LGF,"$24,077,427","2,722","$8,158,860","2,722",2/5/10
129,122,WAR,LGF,"$22,486,409","2,277","$9,820,089","2,277",8/24/07
130,123,My Little Pony: The Movie,LGF,"$21,885,107","2,528","$8,885,899","2,528",10/6/17
131,124,The Big Wedding,LGF,"$21,819,348","2,633","$7,591,663","2,633",4/26/13
132,125,Conan the Barbarian (2011),LGF,"$21,295,021","3,015","$10,021,215","3,015",8/19/11
133,126,Mechanic: Resurrection,LG/S,"$21,218,403","2,258","$7,456,525","2,258",8/26/16
134,127,Cabin Fever,Lions,"$21,158,188","2,105","$8,633,585","2,087",9/12/03
135,128,The Next Three Days,LGF,"$21,148,651","2,564","$6,542,779","2,564",11/19/10
136,129,Blair Witch,LGF,"$20,777,061","3,121","$9,576,057","3,121",9/16/16
137,130,Gamer,LGF,"$20,534,907","2,502","$9,156,057","2,502",9/4/09
138,131,Middle School: The Worst Years of My Life,LGF,"$20,007,149","2,822","$6,878,437","2,822",10/7/16
139,132,The Spirit,LGF,"$19,806,188","2,509","$6,463,278","2,509",12/25/08
140,133,Shaun the Sheep Movie,LGF,"$19,375,982","2,360","$4,038,962","2,320",8/5/15
141,134,My Best Friend's Girl,LGF,"$19,219,250","2,636","$8,265,357","2,604",9/19/08
142,135,"I, Frankenstein",LGF,"$19,075,290","2,753","$8,610,441","2,753",1/24/14
143,136,The Impossible,LG/S,"$19,019,882",886,"$143,818",15,12/21/12
144,137,The Legend of Hercules,LG/S,"$18,848,538","2,104","$8,868,318","2,104",1/10/14
145,138,Akeelah and the Bee,LGF,"$18,848,430","2,195","$6,011,585","2,195",4/28/06
146,139,The Choice,LGF,"$18,730,891","2,631","$6,050,443","2,631",2/5/16
147,140,Man on a Ledge,LG/S,"$18,620,000","2,998","$8,001,932","2,998",1/27/12
148,141,You're Next,LGF,"$18,494,006","2,437","$7,020,196","2,437",8/23/13
149,142,The Perks of Being a Wallflower,LG/S,"$17,742,948",745,"$228,359",4,9/21/12
150,143,Hostel Part II,LGF,"$17,609,452","2,350","$8,203,391","2,350",6/8/07
151,144,Addicted,LGF,"$17,390,770","1,037","$7,485,346",846,10/10/14
152,145,The Glass Castle,LGF,"$17,273,059","1,461","$4,678,548","1,461",8/11/17
153,146,Safe (2012),LGF,"$17,142,080","2,271","$7,892,539","2,266",4/27/12
154,147,Norm of the North,LGF,"$17,062,499","2,411","$6,844,137","2,411",1/15/16
155,148,The Devil's Rejects,Lions,"$17,044,981","1,757","$7,067,335","1,757",7/22/05
156,149,New in Town,LGF,"$16,734,283","1,941","$6,741,530","1,941",1/30/09
157,150,Waiting...,Lions,"$16,124,543","1,652","$6,021,106","1,652",10/7/05
158,151,O,Lions,"$16,025,437","1,464","$5,655,658","1,434",8/31/01
159,152,Tyler Perry's The Single Moms Club,LGF,"$15,973,881","1,896","$8,075,111","1,896",3/14/14
160,153,Hunter Killer,LG/S,"$15,767,460","2,728","$6,653,777","2,728",10/26/18
161,154,Larry the Cable Guy: Health Inspector,LGF,"$15,680,099","1,747","$6,922,767","1,710",3/24/06
162,155,Happily N'Ever After,LGF,"$15,589,393","2,381","$6,608,244","2,381",1/5/07
163,156,Bangkok Dangerous,LGF,"$15,298,133","2,654","$7,783,266","2,650",9/5/08
164,157,American Psycho,Lions,"$15,070,285","1,242","$4,961,015","1,236",4/14/00
165,158,See No Evil,LGF,"$15,032,800","1,270","$4,581,233","1,257",5/19/06
166,159,Step Up All In,LG/S,"$14,904,384","2,072","$6,469,857","2,072",8/8/14
167,160,Criminal (2016),LG/S,"$14,708,696","2,683","$5,767,278","2,683",4/15/16
168,161,America (2014),LGF,"$14,444,502","1,105","$38,608",3,6/27/14
169,162,American Ultra,LGF,"$14,440,985","2,778","$5,454,284","2,778",8/21/15
170,163,Godsend,Lions,"$14,379,751","2,323","$6,800,617","2,323",4/30/04
171,164,Disaster Movie,LGF,"$14,190,901","2,642","$5,836,973","2,642",8/29/08
172,165,Dirty Dancing: Havana Nights,Lions,"$14,161,590","2,042","$5,811,325","2,042",2/27/04
173,166,Crank: High Voltage,LGF,"$13,684,249","2,223","$6,963,565","2,223",4/17/09
174,167,Warrior,LGF,"$13,657,115","1,883","$5,242,107","1,869",9/9/11
175,168,Dredd,LGF,"$13,414,714","2,557","$6,278,491","2,506",9/21/12
176,169,Frailty,Lions,"$13,110,448","1,497","$4,208,655","1,497",4/12/02
177,170,Religulous,LGF,"$13,011,160",568,"$3,409,643",502,10/1/08
178,171,"House of 1,000 Corpses",Lions,"$12,634,962",847,"$3,460,666",595,4/11/03
179,172,Confidence,Lions,"$12,251,640","1,871","$4,563,588","1,871",4/25/03
180,173,The Last Stand,LGF,"$12,050,299","2,913","$6,281,433","2,913",1/18/13
181,174,The Cookout,Lions,"$11,814,019","1,303","$5,000,900","1,303",9/3/04
182,175,Gone,LG/S,"$11,682,205","2,186","$4,770,360","2,186",2/24/12
183,176,Girl with a Pearl Earring,Lions,"$11,670,971",402,"$89,472",7,12/12/03
184,177,No Manches Frida,PNT,"$11,528,613",465,"$3,676,235",362,9/2/16
185,178,Hell Fest,LGF,"$11,107,431","2,297","$5,130,963","2,297",9/28/18
186,179,Cafe Society,LGF,"$11,103,205",631,"$359,289",5,7/15/16
187,180,In the Mix,Lions,"$10,223,896","1,608","$4,448,491","1,608",11/23/05
188,181,The Wash,Lions,"$10,097,538",749,"$2,875,067",749,11/16/01
189,182,BRATZ,LGF,"$10,010,209","1,509","$4,208,455","1,509",8/3/07
190,183,The Perfect Match,LGF,"$9,669,521",925,"$4,294,232",925,3/11/16
191,184,The Red Violin,Lions,"$9,495,408",261,"$47,415",10,11/6/98
192,185,Rock Dog,LG/S,"$9,420,546","2,077","$3,704,749","2,077",2/24/17
193,186,Traffik,LGF,"$9,186,156","1,046","$3,941,338","1,046",4/20/18
194,187,Tyler Perry Presents Peeples,LGF,"$9,177,065","2,041","$4,611,534","2,041",5/10/13
195,188,Un Gallo con Muchos Huevos,LGF,"$9,080,818",616,"$3,424,702",395,9/4/15
196,189,The Quiet Ones,LGF,"$8,509,867","2,027","$3,880,053","2,027",4/25/14
197,190,Shadow of the Vampire,Lions,"$8,293,784",513,"$150,171",6,12/29/00
198,191,The Cooler,Lions,"$8,291,572",408,"$128,973",11,11/26/03
199,192,Early Man,LGF,"$8,267,544","2,494","$3,190,525","2,494",2/16/18
200,193,Delta Farce,LGF,"$8,130,530","1,931","$3,420,645","1,931",5/11/07
201,194,Punisher: War Zone,LGF,"$8,050,977","2,508","$4,271,451","2,508",12/5/08
202,195,The Wild Life (2016),LG/S,"$8,005,586","2,493","$3,342,696","2,493",9/9/16
203,196,Mortdecai,LGF,"$7,696,134","2,648","$4,200,586","2,648",1/23/15
204,197,The Condemned,LGF,"$7,371,706","2,310","$3,807,595","2,310",4/27/07
205,198,Pride,LGF,"$7,057,600","1,518","$3,533,300","1,518",3/23/07
206,199,No Manches Frida 2,PNT,"$7,055,847",472,"$3,831,401",472,3/15/19
208,201,The Rules of Attraction,Lions,"$6,532,619","1,437","$2,532,410","1,437",10/11/02
209,202,Gods and Monsters,Lions,"$6,451,628",149,"$75,508",6,11/6/98
210,203,Cantinflas,LGF,"$6,382,924",429,"$2,661,253",382,8/29/14
211,204,Affliction,Lions,"$6,330,054",335,"$63,979",3,12/30/98
212,205,Beyond the Sea,Lions,"$6,318,709",383,"$45,264",6,12/17/04
213,206,Les Boys 2,Lions,"$5,974,732",88,"$302,822",88,12/11/98
214,207,Casa De Mi Padre,LGF,"$5,909,483",475,"$2,287,239",382,3/16/12
215,208,Pulling Strings,LGF,"$5,842,961",438,"$2,467,168",387,10/4/13
216,209,Kin,LGF,"$5,718,096","2,141","$3,035,618","2,141",8/31/18
217,210,Cesar Chavez,LGF,"$5,571,497",664,"$2,861,528",664,3/28/14
218,211,Amores Perros,Lions,"$5,408,467",187,"$61,047",2,3/30/01
219,212,Alone in the Dark,Lions,"$5,178,569","2,124","$2,834,421","2,124",1/28/05
220,213,Lantana,Lions,"$4,623,189",108,"$66,701",6,12/14/01
221,214,Les Boys,Lions,"$4,602,341",52,"$436,174",52,12/12/97
222,215,Away from Her,LGF,"$4,571,521",275,"$114,628",13,5/4/07
223,216,Blindspotting,LG/S,"$4,333,394",523,"$338,999",14,7/20/18
224,217,Lovely and Amazing,Lions,"$4,222,923",175,"$91,910",8,6/28/02
225,218,Ya Veremos,PNT,"$4,165,949",369,"$1,803,848",369,8/31/18
226,219,Witless Protection,LGF,"$4,161,625","1,354","$2,116,692","1,333",2/22/08
227,220,The Dinner Game,Lions,"$4,071,548",67,"$25,520",1,7/9/99
228,221,Secretary,Lions,"$4,059,680",149,"$182,306",11,9/20/02
229,222,Ladron Que Roba A Ladron,LGF,"$4,011,254",340,"$1,626,090",340,8/31/07
230,223,The Cold Light of Day,LG/S,"$3,763,583","1,511","$1,831,588","1,511",9/7/12
231,224,High Tension,Lions,"$3,681,066","1,323","$1,897,705","1,323",6/10/05
232,225,A La Mala,LGF,"$3,629,842",384,"$1,402,118",384,2/27/15
233,226,Spare Parts,LGF,"$3,618,912",440,"$1,335,768",440,1/16/15
234,227,Les Boys III,Lions,"$3,557,100",115,"$721,350",115,11/30/01
235,228,Rize,Lions,"$3,336,391",352,"$1,574,787",352,6/24/05
236,229,Elvis Gratton 2,Lions,"$3,316,272",91,"$470,089",91,7/2/99
237,230,Stand Up Guys,LGF,"$3,310,031",670,"$1,486,390",659,2/1/13
238,231,The Cat's Meow,Lions,"$3,209,481",153,"$111,037",11,4/12/02
239,232,Grizzly Man,Lions,"$3,178,403",105,"$269,131",29,8/12/05
240,233,The Big Kahuna,Lions,"$3,165,544",309,"$80,957",8,4/28/00
241,234,Compadres,PNT,"$3,127,773",368,"$1,397,434",368,4/22/16
242,235,Asterix et Obelix: Mission Cleopatra,Lions,"$3,115,188",N/A,N/A,N/A,6/7/02
243,236,The Widow of St. Pierre,Lions,"$3,074,234",83,"$31,702",1,3/2/01
244,237,Ladrones,LGF,"$3,063,505",375,"$1,411,031",375,10/9/15
245,238,Songcatcher,Lions,"$3,059,834",104,"$41,967",7,6/15/01
246,239,The Golden Bowl,Lions,"$3,050,532",117,"$90,170",5,4/27/01
247,240,From Prada to Nada,LGF,"$3,033,623",261,"$1,115,638",256,1/28/11
248,241,Filly Brown,LGF,"$2,850,357",259,"$1,478,323",188,4/19/13
249,242,La Mujer de Mi Hermano,LGF,"$2,808,241",217,"$1,018,750",206,4/14/06
250,243,La Boda de Valentina,PNT,"$2,783,739",331,"$1,147,073",331,2/9/18
251,244,Girl in Progress,LGF,"$2,609,412",322,"$1,384,078",322,5/11/12
252,245,Love and Death on Long Island,Lions,"$2,581,012",6,"$78,151",6,3/6/98
253,246,Hazlo Como Hombre (Do It Like An Hombre),PNT,"$2,534,252",382,"$1,174,484",382,9/1/17
254,247,Buffalo '66,Lions,"$2,375,097",25,"$39,555",2,6/26/98
255,248,The Pillow Book,Lions,"$2,372,744",N/A,N/A,N/A,6/6/97
256,249,Rabbit Hole,LGF,"$2,229,058",131,"$53,778",5,12/17/10
257,250,Shattered Glass,Lions,"$2,220,008",215,"$77,540",8,10/31/03
258,251,But I'm a Cheerleader,Lions,"$2,205,627",115,"$60,410",4,7/7/00
259,252,Un Padre No Tan Padre,PNT,"$2,156,047",312,"$978,894",312,1/27/17
260,253,State Property,Lions,"$2,106,838",75,"$452,028",61,1/18/02
261,254,Beyond the Mat,Lions,"$2,053,648",298,"$9,532",1,10/22/99
262,255,Everybody Loves Somebody,PNT,"$1,915,789",333,"$924,201",333,2/17/17
263,256,The Vatican Tapes,LGF,"$1,784,763",427,"$832,271",427,7/24/15
264,257,Busco Novio Para Mi Mujer,PNT,"$1,741,889",357,"$902,457",357,2/19/16
265,258,State Property 2,Lions,"$1,691,706",202,"$756,905",202,4/13/05
266,259,Battle for Terra,LGF,"$1,647,083","1,159","$1,082,064","1,159",5/1/09
267,260,Asterix et Obelix Contre Cesar,Lions,"$1,644,060",73,"$304,245",63,6/4/99
268,261,Dogville,Lions,"$1,535,286",70,"$88,855",9,3/26/04
269,262,Saving Private Perez,LGF,"$1,400,726",165,"$664,517",161,9/2/11
270,263,The Kid (2019),LGF,"$1,393,134",268,"$514,286",268,3/8/19
271,264,The Devil's Double,LGF,"$1,361,512",89,"$96,414",5,7/29/11
272,265,"No Eres Tu, Soy Yo",LGF,"$1,339,911",226,"$588,938",226,4/8/11
273,266,Happy Endings,Lions,"$1,315,701",74,"$240,075",52,7/15/05
274,267,Jesus' Son,Lions,"$1,302,067",95,"$37,089",1,6/16/00
275,268,3 Idiotas,PNT,"$1,249,233",349,"$609,249",349,6/2/17
276,269,Slow Burn,LGF,"$1,237,615","1,163","$778,123","1,163",4/13/07
277,270,Child 44,LG/S,"$1,224,330",510,"$621,812",510,4/17/15
278,271,Repentance,LGF,"$1,189,612",157,"$501,290",152,2/28/14
279,272,The U.S. Vs. John Lennon,LGF,"$1,109,146",65,"$69,143",6,9/15/06
280,273,Undiscovered,Lions,"$1,069,318","1,304","$676,048","1,304",8/26/05
281,274,Peaceful Warrior,LGF,"$1,066,748",42,"$80,602",10,6/2/06
282,275,Wonderland (2003),Lions,"$1,060,512",195,"$91,798",5,10/3/03
283,276,What's Cooking,Lions,"$1,045,899",50,"$144,586",40,11/17/00
284,277,Leonard Cohen I'm Your Man,LGF,"$1,044,254",55,"$17,130",1,6/21/06
285,278,Buried,LGF,"$1,044,143",107,"$100,268",11,9/24/10
286,279,Urbania,Lions,"$1,032,075",43,"$72,129",10,9/15/00
287,280,The Eyes of Tammy Faye,Lions,"$1,029,591",51,"$46,111",9,7/21/00
288,281,Hard Candy,LGF,"$1,024,640",152,"$58,049",2,4/14/06
289,282,All Over the Guy,Lions,"$1,022,324",35,"$41,606",7,8/10/01
290,283,Liam,Lions,"$1,016,021",55,"$44,399",7,9/21/01
291,284,Two Family House,Lions,"$1,015,122",65,"$137,853",65,10/6/00
292,285,Perfect Strangers,PNT,"$1,014,507",132,"$422,656",132,1/11/19
293,286,Last Flag Flying,LGF,"$965,481",110,"$40,558",4,11/3/17
294,287,More Than a Game,LGF,"$950,675",111,"$182,943",14,10/2/09
295,288,Heavy,Lions,"$941,414",22,"$14,425",1,6/5/96
296,289,Guantanamera,Lions,"$903,840",12,"$8,851",3,7/4/97
297,290,Mas Negro Que La Noche,LGF,"$870,063",178,"$539,867",178,9/26/14
298,291,Saw 10th Anniversary,LGF,"$815,324","2,063","$650,051","2,063",10/31/14
299,292,Irreversible,Lions,"$792,200",35,"$60,086",7,3/7/03
300,293,Stage Beauty,Lions,"$782,383",78,"$38,654",3,10/8/04
301,294,Monster Hunt 2,LGF,"$706,153",69,"$341,834",69,2/16/18
302,295,Frankie & Alice (2014),LGF,"$695,876",171,"$350,647",171,4/4/14
303,296,Taxi 2,Lions,"$626,164",54,"$98,523",54,10/6/00
304,297,The Monster,Lions,"$615,826",N/A,N/A,N/A,4/19/96
305,298,Last Night (1999),Lions,"$591,165",28,"$24,057",28,4/30/99
306,299,Freeheld,LGF,"$573,335",148,"$37,983",5,10/2/15
312,305,Bread and Roses,Lions,"$533,479",39,"$49,662",34,5/11/01
313,306,The Grey Zone,Lions,"$517,872",36,"$24,526",8,10/18/02
314,307,Mr. Death,Lions,"$507,941",28,"$24,125",3,12/29/99
315,308,The Inevitable Defeat of Mister and Pete,LGF,"$494,608",147,"$254,279",147,10/11/13
316,309,Tape,Lions,"$490,475",35,"$28,424",7,11/2/01
317,310,Bully,Lions,"$480,811",20,"$47,502",6,7/13/01
318,311,Condorito: La Pelicula,LGF,"$447,719",153,"$248,456",153,1/12/18
319,312,The Hard Word,Lions,"$426,880",38,"$9,422",1,6/13/03
320,313,8 1/2 Women,Lions,"$424,123",30,"$92,000",16,5/26/00
